pairedScenarioId,phase,policy,placement,profile,payloadBlocks,capacity,bufferLimit,seed,complete,baselineCct,cct,deltaCct,relativeDelta,baselineFctP99,fctP99,p99Regression
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a1.05,rack-compact,4,100,10,8,1,true,43,43,0,0,43,43,0
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a1.10,rack-compact,4,100,10,8,1,true,43,43,0,0,43,43,0
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a1.20,rack-compact,4,100,10,8,1,true,43,43,0,0,43,43,0
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a1.35,rack-compact,4,100,10,8,1,true,43,44,1,0.023255813953488372,43,44,0.023255813953488372
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a1.50,rack-compact,4,100,10,8,1,true,43,47,4,0.09302325581395349,43,47,0.09302325581395349
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,advisor-overdrive-a2.00,rack-compact,4,100,10,8,1,true,43,46,3,0.06976744186046512,43,46,0.06976744186046512
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,per-source-lossless,rack-compact,4,100,10,8,1,true,43,43,0,0,43,43,0
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,adaptive-advisor-overdrive,rack-compact,4,100,10,8,1,true,43,42,-1,-0.023255813953488372,43,42,-0.023255813953488372
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,max-rate-recovery,rack-compact,4,100,10,8,1,true,43,50,7,0.16279069767441862,43,50,0.16279069767441862
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,member-formula-rate,rack-compact,4,100,10,8,1,true,43,43,0,0,43,43,0
A__rack-compact__profile-4__seed-1__payload-100__capacity-10__buffer-8,A,no-recovery-max-rate,rack-compact,4,100,10,8,1,false,43,,,,43,,