Scenario Name,Ticks,Total Injected,Repair Injected,Delivered,Total Drops,Control Reports,Control Blocks,Repair Blocks,Retransmitted Reports,Total Waiting Offset Ticks,Pending Reports,Pending Repairs,Unrecovered Packets,Drops Per Original Block,Repairs Per Original Block,Original TX Complete Tick,Post TX Tail Ticks,Recovery Tail Ticks,Last Repair Completed Tick,Capacity,Buffer Limit,Tenant Rates,Collective CCTs
smoke__advisor-overdrive-a1.05__global-spread__g8__c1__p100__b16__s1,79,800,212,5600,212,212,10.600000000000016,212,0,0,0,0,0,0.265,0.265,67,12,12,79,10,16,1.5|0|0|0,red:79
smoke__advisor-overdrive-a1.10__global-spread__g8__c1__p100__b16__s1,80,800,440,5600,440,540,27.00000000000025,440,100,0,0,0,0,0.55,0.55,64,16,16,80,10,16,1.5714285714285716|0|0|0,red:80
smoke__advisor-overdrive-a1.20__global-spread__g8__c1__p100__b16__s1,83,800,806,5600,806,873,43.64999999999966,806,67,0,0,0,0,1.0075,1.0075,59,24,24,83,10,16,1.7142857142857142|0|0|0,red:83
smoke__advisor-overdrive-a1.35__global-spread__g8__c1__p100__b16__s1,95,800,1230,5600,1230,1766,88.29999999999713,1230,536,0,0,0,0,1.5375,1.5375,52,43,43,95,10,16,1.9285714285714288|0|0|0,red:95
smoke__advisor-overdrive-a1.50__global-spread__g8__c1__p100__b16__s1,107,800,1543,5600,1543,2511,125.54999999999501,1543,1069,0,0,0,0,1.92875,1.92875,47,60,60,107,10,16,2.142857142857143|0|0|0,red:107
smoke__advisor-overdrive-a2.00__global-spread__g8__c1__p100__b16__s1,121,800,2396,5600,2396,4294,214.70000000001457,2396,2250,0,0,0,0,2.995,2.995,35,86,86,121,10,16,2.857142857142857|0|0|0,red:121
smoke__per-source-lossless__global-spread__g8__c1__p100__b16__s1,76,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,10,16,1.4285714285714286|0|0|0,red:76
smoke__adaptive-advisor-overdrive__global-spread__g8__c1__p100__b16__s1,79,800,13,5600,13,13,0.65,13,0,0,0,0,0,0.01625,0.01625,70,9,9,79,10,16,1.4285714285714286|0|0|0,red:79
smoke__max-rate-recovery__global-spread__g8__c1__p100__b16__s1,118,800,3984,5600,3988,6237,311.85000000003663,3984,2431,0,0,0,0,4.985,4.98,10,108,108,118,10,16,10|0|0|0,red:118
smoke__member-formula-rate__global-spread__g8__c1__p100__b16__s1,76,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,10,16,1.4285714285714286|0|0|0,red:76
smoke__no-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,19,800,0,1136,1776,0,0,0,0,0,0,0,0,2.22,0,10,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__advisor-exact-lossless__global-spread__g8__c2__p100__b16__s1,147,1600,0,11200,0,0,0,0,0,0,0,0,0,0,0,140,7,0,0,10,16,0.7142857142857143|0.7142857142857143|0|0,red:146|green:147
smoke__advisor-overdrive-a1.05__global-spread__g8__c2__p100__b16__s1,152,1600,690,11200,690,697,34.85000000000016,690,173,0,0,0,0,0.43125,0.43125,134,18,18,152,10,16,0.75|0.75|0|0,red:152|green:152
smoke__advisor-overdrive-a1.10__global-spread__g8__c2__p100__b16__s1,193,1600,1400,11200,1400,1664,83.19999999999742,1400,623,0,0,0,0,0.875,0.875,128,65,65,193,10,16,0.7857142857142858|0.7857142857142858|0|0,red:193|green:163
smoke__advisor-overdrive-a1.20__global-spread__g8__c2__p100__b16__s1,184,1600,3027,11200,3081,3765,188.25000000000855,3027,1692,0,0,0,0,1.925625,1.891875,117,67,67,184,10,16,0.8571428571428571|0.8571428571428571|0|0,red:184|green:183
smoke__advisor-overdrive-a1.35__global-spread__g8__c2__p100__b16__s1,257,1600,4839,11200,5914,7492,374.6000000000509,4839,4279,0,0,0,0,3.69625,3.024375,104,153,153,257,10,16,0.9642857142857144|0.9642857142857144|0|0,red:257|green:243
smoke__advisor-overdrive-a1.50__global-spread__g8__c2__p100__b16__s1,362,1600,6481,11200,7195,10397,519.8500000000749,6481,6290,0,0,0,0,4.496875,4.050625,94,268,268,362,10,16,1.0714285714285714|1.0714285714285714|0|0,red:362|green:353
smoke__advisor-overdrive-a2.00__global-spread__g8__c2__p100__b16__s1,465,1600,10772,11200,12135,16173,808.6499999998123,10772,10287,0,0,0,0,7.584375,6.7325,70,395,395,465,10,16,1.4285714285714286|1.4285714285714286|0|0,red:465|green:432
smoke__per-source-lossless__global-spread__g8__c2__p100__b16__s1,147,1600,0,11200,0,0,0,0,0,0,0,0,0,0,0,140,7,0,0,10,16,0.7142857142857143|0.7142857142857143|0|0,red:146|green:147
smoke__adaptive-advisor-overdrive__global-spread__g8__c2__p100__b16__s1,149,1600,27,11200,27,27,1.3500000000000005,27,0,0,0,0,0,0.016875,0.016875,140,9,9,149,10,16,0.7142857142857143|0.7142857142857143|0|0,red:149|green:149
smoke__max-rate-recovery__global-spread__g8__c2__p100__b16__s1,296,1600,17974,11200,21043,29193,1459.6499999992202,17974,17075,0,0,0,0,13.151875,11.23375,10,286,286,296,10,16,10|10|0|0,red:295|green:296
smoke__member-formula-rate__global-spread__g8__c2__p100__b16__s1,465,1600,10772,11200,12135,16173,808.6499999998123,10772,10287,0,0,0,0,7.584375,6.7325,70,395,395,465,10,16,1.4285714285714286|1.4285714285714286|0|0,red:465|green:432
smoke__no-recovery-max-rate__global-spread__g8__c2__p100__b16__s1,19,1600,0,1168,3904,0,0,0,0,0,0,0,0,2.44,0,10,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__advisor-exact-lossless__random-balanced__g4__c1__p100__b16__s1,36,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|0|0|0,red:36
smoke__advisor-overdrive-a1.05__random-balanced__g4__c1__p100__b16__s1,41,400,31,1200,31,31,1.5500000000000007,31,0,0,0,0,0,0.0775,0.0775,29,12,12,41,10,16,3.5000000000000004|0|0|0,red:41
smoke__advisor-overdrive-a1.10__random-balanced__g4__c1__p100__b16__s1,44,400,81,1200,81,112,5.599999999999988,81,31,0,0,0,0,0.2025,0.2025,28,16,16,44,10,16,3.666666666666667|0|0|0,red:44
smoke__advisor-overdrive-a1.20__random-balanced__g4__c1__p100__b16__s1,46,400,172,1200,172,280,14.000000000000064,172,108,0,0,0,0,0.43,0.43,25,21,21,46,10,16,4|0|0|0,red:46
smoke__advisor-overdrive-a1.35__random-balanced__g4__c1__p100__b16__s1,51,400,273,1200,273,484,24.20000000000021,273,211,0,0,0,0,0.6825,0.6825,23,28,28,51,10,16,4.500000000000001|0|0|0,red:51
smoke__advisor-overdrive-a1.50__random-balanced__g4__c1__p100__b16__s1,54,400,352,1200,352,623,31.150000000000308,352,271,0,0,0,0,0.88,0.88,20,34,34,54,10,16,5|0|0|0,red:54
smoke__advisor-overdrive-a2.00__random-balanced__g4__c1__p100__b16__s1,57,400,550,1200,550,985,49.24999999999934,550,495,0,0,0,0,1.375,1.375,15,42,42,57,10,16,6.666666666666667|0|0|0,red:57
smoke__per-source-lossless__random-balanced__g4__c1__p100__b16__s1,36,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|0|0|0,red:36
smoke__adaptive-advisor-overdrive__random-balanced__g4__c1__p100__b16__s1,36,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|0|0|0,red:36
smoke__max-rate-recovery__random-balanced__g4__c1__p100__b16__s1,55,400,684,1200,684,1281,64.0499999999985,684,607,0,0,0,0,1.71,1.71,10,45,45,55,10,16,10|0|0|0,red:55
smoke__member-formula-rate__random-balanced__g4__c1__p100__b16__s1,36,400,0,1200,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|0|0|0,red:36
smoke__no-recovery-max-rate__random-balanced__g4__c1__p100__b16__s1,18,400,0,488,524,0,0,0,0,0,0,0,0,1.31,0,10,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__advisor-exact-lossless__random-balanced__g4__c2__p100__b16__s1,36,800,0,2400,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:36|green:36
smoke__advisor-overdrive-a1.05__random-balanced__g4__c2__p100__b16__s1,41,800,57,2400,57,57,2.849999999999998,57,0,0,0,0,0,0.07125,0.07125,29,12,12,41,10,16,3.5000000000000004|3.5000000000000004|0|0,red:41|green:39
smoke__advisor-overdrive-a1.10__random-balanced__g4__c2__p100__b16__s1,42,800,158,2400,158,190,9.5,158,32,0,0,0,0,0.1975,0.1975,28,14,14,42,10,16,3.666666666666667|3.666666666666667|0|0,red:42|green:38
smoke__advisor-overdrive-a1.20__random-balanced__g4__c2__p100__b16__s1,46,800,332,2400,332,440,22.000000000000178,332,108,0,0,0,0,0.415,0.415,25,21,21,46,10,16,4|4|0|0,red:46|green:38
smoke__advisor-overdrive-a1.35__random-balanced__g4__c2__p100__b16__s1,51,800,553,2400,553,794,39.69999999999988,553,241,0,0,0,0,0.69125,0.69125,23,28,28,51,10,16,4.500000000000001|4.500000000000001|0|0,red:51|green:39
smoke__advisor-overdrive-a1.50__random-balanced__g4__c2__p100__b16__s1,54,800,668,2400,668,1015,50.749999999999254,668,347,0,0,0,0,0.835,0.835,20,34,34,54,10,16,5|5|0|0,red:54|green:39
smoke__advisor-overdrive-a2.00__random-balanced__g4__c2__p100__b16__s1,57,800,958,2400,958,1467,73.34999999999798,958,569,0,0,0,0,1.1975,1.1975,15,42,42,57,10,16,6.666666666666667|6.666666666666667|0|0,red:57|green:46
smoke__per-source-lossless__random-balanced__g4__c2__p100__b16__s1,36,800,0,2400,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:36|green:36
smoke__adaptive-advisor-overdrive__random-balanced__g4__c2__p100__b16__s1,40,800,2,2400,2,2,0.1,2,0,0,0,0,0,0.0025,0.0025,30,10,10,40,10,16,3.3333333333333335|3.3333333333333335|0|0,red:40|green:36
smoke__max-rate-recovery__random-balanced__g4__c2__p100__b16__s1,55,800,1218,2400,1218,2028,101.39999999999638,1218,820,0,0,0,0,1.5225,1.5225,10,45,45,55,10,16,10|10|0|0,red:55|green:45
smoke__member-formula-rate__random-balanced__g4__c2__p100__b16__s1,36,800,0,2400,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,10,16,3.3333333333333335|3.3333333333333335|0|0,red:36|green:36
smoke__no-recovery-max-rate__random-balanced__g4__c2__p100__b16__s1,18,800,0,1056,968,0,0,0,0,0,0,0,0,1.21,0,10,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__advisor-exact-lossless__random-balanced__g8__c1__p100__b16__s1,77,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,7,0,0,10,16,1.4285714285714286|0|0|0,red:77
smoke__advisor-overdrive-a1.05__random-balanced__g8__c1__p100__b16__s1,82,800,224,5600,224,231,11.55000000000003,224,7,0,0,0,0,0.28,0.28,67,14,14,81,10,16,1.5|0|0|0,red:81
smoke__advisor-overdrive-a1.10__random-balanced__g8__c1__p100__b16__s1,85,800,467,5600,467,592,29.600000000000286,467,128,0,0,0,0,0.58375,0.58375,64,21,21,85,10,16,1.5714285714285716|0|0|0,red:85
smoke__advisor-overdrive-a1.20__random-balanced__g8__c1__p100__b16__s1,94,800,843,5600,843,1328,66.39999999999837,843,507,0,0,0,0,1.05375,1.05375,59,35,35,94,10,16,1.7142857142857142|0|0|0,red:94
smoke__advisor-overdrive-a1.35__random-balanced__g8__c1__p100__b16__s1,99,800,1381,5600,1381,2382,119.09999999999538,1381,1097,0,0,0,0,1.72625,1.72625,52,47,47,99,10,16,1.9285714285714288|0|0|0,red:99
smoke__advisor-overdrive-a1.50__random-balanced__g8__c1__p100__b16__s1,103,800,1613,5600,1613,2827,141.3499999999979,1613,1386,0,0,0,0,2.01625,2.01625,47,56,56,103,10,16,2.142857142857143|0|0|0,red:103
smoke__advisor-overdrive-a2.00__random-balanced__g8__c1__p100__b16__s1,117,800,2498,5600,2498,5081,254.05000000002352,2498,3015,0,0,0,0,3.1225,3.1225,35,82,82,117,10,16,2.857142857142857|0|0|0,red:117
smoke__per-source-lossless__random-balanced__g8__c1__p100__b16__s1,77,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,7,0,0,10,16,1.4285714285714286|0|0|0,red:77
smoke__adaptive-advisor-overdrive__random-balanced__g8__c1__p100__b16__s1,76,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,6,0,0,10,16,1.4285714285714286|0|0|0,red:76
smoke__max-rate-recovery__random-balanced__g8__c1__p100__b16__s1,94,800,3479,5600,3481,5549,277.4500000000288,3479,2213,0,0,0,0,4.35125,4.34875,10,84,84,94,10,16,10|0|0|0,red:94
smoke__member-formula-rate__random-balanced__g8__c1__p100__b16__s1,77,800,0,5600,0,0,0,0,0,0,0,0,0,0,0,70,7,0,0,10,16,1.4285714285714286|0|0|0,red:77
smoke__no-recovery-max-rate__random-balanced__g8__c1__p100__b16__s1,19,800,0,1172,1776,0,0,0,0,0,0,0,0,2.22,0,10,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__advisor-exact-lossless__random-balanced__g8__c2__p100__b16__s1,147,1600,0,11200,0,0,0,0,0,0,0,0,0,0,0,140,7,0,0,10,16,0.7142857142857143|0.7142857142857143|0|0,red:146|green:147
smoke__advisor-overdrive-a1.05__random-balanced__g8__c2__p100__b16__s1,152,1600,530,11200,530,530,26.50000000000024,530,132,0,0,0,0,0.33125,0.33125,134,18,18,152,10,16,0.75|0.75|0|0,red:152|green:152
smoke__advisor-overdrive-a1.10__random-balanced__g8__c2__p100__b16__s1,161,1600,1084,11200,1096,1260,62.99999999999856,1084,449,0,0,0,0,0.685,0.6775,128,33,33,161,10,16,0.7857142857142858|0.7857142857142858|0|0,red:160|green:161
smoke__advisor-overdrive-a1.20__random-balanced__g8__c2__p100__b16__s1,166,1600,2288,11200,2324,2762,138.09999999999715,2288,1182,0,0,0,0,1.4525,1.43,117,49,49,166,10,16,0.8571428571428571|0.8571428571428571|0|0,red:166|green:158
smoke__advisor-overdrive-a1.35__random-balanced__g8__c2__p100__b16__s1,244,1600,3801,11200,4179,5312,265.6000000000261,3801,2762,0,0,0,0,2.611875,2.375625,104,140,140,244,10,16,0.9642857142857144|0.9642857142857144|0|0,red:244|green:234
smoke__advisor-overdrive-a1.50__random-balanced__g8__c2__p100__b16__s1,359,1600,5242,11200,5596,7665,383.25000000005286,5242,4400,0,0,0,0,3.4975,3.27625,94,265,265,359,10,16,1.0714285714285714|1.0714285714285714|0|0,red:359|green:256
smoke__advisor-overdrive-a2.00__random-balanced__g8__c2__p100__b16__s1,408,1600,8800,11200,9483,12110,605.499999999997,8800,7431,0,0,0,0,5.926875,5.5,70,338,338,408,10,16,1.4285714285714286|1.4285714285714286|0|0,red:340|green:408
smoke__per-source-lossless__random-balanced__g8__c2__p100__b16__s1,147,1600,0,11200,0,0,0,0,0,0,0,0,0,0,0,140,7,0,0,10,16,0.7142857142857143|0.7142857142857143|0|0,red:146|green:147
smoke__adaptive-advisor-overdrive__random-balanced__g8__c2__p100__b16__s1,148,1600,21,11200,21,21,1.0500000000000003,21,0,0,0,0,0,0.013125,0.013125,140,8,8,148,10,16,0.7142857142857143|0.7142857142857143|0|0,red:148|green:148
smoke__max-rate-recovery__random-balanced__g8__c2__p100__b16__s1,302,1600,16477,11200,18817,26460,1322.9999999993445,16477,14559,0,0,0,0,11.760625,10.298125,10,292,292,302,10,16,10|10|0|0,red:181|green:302
smoke__member-formula-rate__random-balanced__g8__c2__p100__b16__s1,408,1600,8800,11200,9483,12110,605.499999999997,8800,7431,0,0,0,0,5.926875,5.5,70,338,338,408,10,16,1.4285714285714286|1.4285714285714286|0|0,red:340|green:408
smoke__no-recovery-max-rate__random-balanced__g8__c2__p100__b16__s1,19,1600,0,1546,3682,0,0,0,0,0,0,0,0,2.30125,0,10,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
