Dimension,Label,Runs,Complete Runs,Completion Rate,Avg CCT,FCT p50,FCT p95,FCT p99,Avg Drops,Avg Repairs,Avg Control Reports,Avg Report Retries,Avg Waiting Offset Ticks,Avg Hot Ticks,Recovery p95
policy,policy=static-lossless-rate,12,12,1.0000,71.56,76,146,147,0.00,0.00,0.00,0.00,0.00,672.50,
policy,policy=smart-recovery-max-rate,12,12,1.0000,109.06,81,282,295,5669.08,5215.83,8264.83,3964.08,0.00,1251.83,163
policy,policy=intermediate-rate,12,12,1.0000,121.56,80,281,296,4993.50,4584.58,7530.42,4173.58,0.00,1196.92,164
policy,policy=phase-offset-smart-recovery,12,12,1.0000,121.67,81,198,315,5535.33,5047.00,8058.58,3987.67,10.50,1235.67,164
policy,policy=member-formula-rate,12,12,1.0000,130.39,76,304,432,1801.50,1631.00,2356.92,1476.50,0.00,1034.50,230
policy,policy=sequential-smart-recovery,12,12,1.0000,161.11,80,384,422,667.67,579.67,1307.67,728.00,0.00,1403.92,48
policy,policy=no-recovery-max-rate,12,0,0.0000,,18,19,19,1737.50,0.00,0.00,0.00,0.00,272.42,
placement,placement=rack-compact,28,24,0.8571,65.14,74,94,126,1879.54,1667.61,2425.32,819.93,1.50,659.79,61
placement,placement=random-balanced,28,24,0.8571,138.56,83,285,386,3170.50,2630.57,4317.50,2385.82,1.50,1110.18,215
placement,placement=global-spread,28,24,0.8571,153.97,96,322,428,3694.79,3012.43,5050.79,2935.61,1.50,1259.07,230
policy+placement,"policy=static-lossless-rate, placement=rack-compact",4,4,1.0000,55.00,74,76,76,0.00,0.00,0.00,0.00,0.00,535.75,
policy+placement,"policy=member-formula-rate, placement=rack-compact",4,4,1.0000,55.00,74,76,76,0.00,0.00,0.00,0.00,0.00,535.75,
policy+placement,"policy=smart-recovery-max-rate, placement=rack-compact",4,4,1.0000,61.00,76,85,85,4117.50,4111.50,5870.00,1810.50,0.00,768.00,30
policy+placement,"policy=phase-offset-smart-recovery, placement=rack-compact",4,4,1.0000,61.83,74,85,87,4029.25,4025.50,5797.25,1836.25,10.50,775.25,31
policy+placement,"policy=intermediate-rate, placement=rack-compact",4,4,1.0000,66.00,70,94,96,3537.00,3536.25,5310.00,2092.75,0.00,760.25,61
policy+placement,"policy=static-lossless-rate, placement=random-balanced",4,4,1.0000,79.67,144,146,147,0.00,0.00,0.00,0.00,0.00,655.00,
policy+placement,"policy=static-lossless-rate, placement=global-spread",4,4,1.0000,80.00,145,146,147,0.00,0.00,0.00,0.00,0.00,826.75,
policy+placement,"policy=sequential-smart-recovery, placement=rack-compact",4,4,1.0000,92.00,60,128,128,0.00,0.00,0.00,0.00,0.00,1020.00,
policy+placement,"policy=smart-recovery-max-rate, placement=random-balanced",4,4,1.0000,122.00,86,183,299,6050.00,5464.50,8829.50,4549.75,0.00,1393.75,145
policy+placement,"policy=phase-offset-smart-recovery, placement=random-balanced",4,4,1.0000,140.00,86,189,288,5685.75,5114.50,8468.25,4525.75,10.50,1334.25,147
policy+placement,"policy=smart-recovery-max-rate, placement=global-spread",4,4,1.0000,144.17,97,292,295,6839.75,6071.50,10095.00,5532.00,0.00,1593.75,163
policy+placement,"policy=intermediate-rate, placement=random-balanced",4,4,1.0000,145.33,89,285,294,5448.00,4836.50,8150.00,4818.75,0.00,1342.50,155
policy+placement,"policy=intermediate-rate, placement=global-spread",4,4,1.0000,153.33,100,284,321,5995.50,5381.00,9131.25,5609.25,0.00,1488.00,164
policy+placement,"policy=member-formula-rate, placement=random-balanced",4,4,1.0000,155.50,77,259,344,2370.75,2200.00,3027.50,1857.75,0.00,1217.25,215
policy+placement,"policy=phase-offset-smart-recovery, placement=global-spread",4,4,1.0000,163.17,99,299,322,6891.00,6001.00,9910.25,5601.00,10.50,1597.50,164
policy+placement,"policy=member-formula-rate, placement=global-spread",4,4,1.0000,180.67,77,378,465,3033.75,2693.00,4043.25,2571.75,0.00,1350.50,230
policy+placement,"policy=sequential-smart-recovery, placement=random-balanced",4,4,1.0000,188.83,96,386,417,901.50,798.50,1747.25,948.75,0.00,1535.75,41
policy+placement,"policy=sequential-smart-recovery, placement=global-spread",4,4,1.0000,202.50,110,421,465,1101.50,940.50,2175.75,1235.25,0.00,1656.00,48
policy+placement,"policy=no-recovery-max-rate, placement=global-spread",4,0,0.0000,,18,18,18,2002.00,0.00,0.00,0.00,0.00,301.00,
policy+placement,"policy=no-recovery-max-rate, placement=rack-compact",4,0,0.0000,,19,19,19,1473.00,0.00,0.00,0.00,0.00,223.50,
policy+placement,"policy=no-recovery-max-rate, placement=random-balanced",4,0,0.0000,,18,19,19,1737.50,0.00,0.00,0.00,0.00,292.75,
policy+groupSize,"policy=static-lossless-rate, groupSize=4",6,6,1.0000,35.67,36,36,37,0.00,0.00,0.00,0.00,0.00,354.83,
policy+groupSize,"policy=member-formula-rate, groupSize=4",6,6,1.0000,35.67,36,36,37,0.00,0.00,0.00,0.00,0.00,354.83,
policy+groupSize,"policy=phase-offset-smart-recovery, groupSize=4",6,6,1.0000,46.56,37,52,55,977.17,977.17,1634.17,663.00,6.50,423.17,36
policy+groupSize,"policy=smart-recovery-max-rate, groupSize=4",6,6,1.0000,46.89,36,52,55,1013.00,1013.00,1736.50,726.83,0.00,432.00,37
policy+groupSize,"policy=intermediate-rate, groupSize=4",6,6,1.0000,48.89,37,57,57,766.50,766.50,1223.67,477.17,0.00,394.17,41
policy+groupSize,"policy=sequential-smart-recovery, groupSize=4",6,6,1.0000,61.33,32,64,64,0.00,0.00,0.00,0.00,0.00,566.67,
policy+groupSize,"policy=static-lossless-rate, groupSize=8",6,6,1.0000,107.44,76,146,147,0.00,0.00,0.00,0.00,0.00,990.17,
policy+groupSize,"policy=smart-recovery-max-rate, groupSize=8",6,6,1.0000,171.22,83,286,295,10325.17,9418.67,14793.17,7201.33,0.00,2071.67,163
policy+groupSize,"policy=intermediate-rate, groupSize=8",6,6,1.0000,194.22,88,285,303,9220.50,8402.67,13837.17,7870.00,0.00,1999.67,164
policy+groupSize,"policy=phase-offset-smart-recovery, groupSize=8",6,6,1.0000,196.78,83,282,321,10093.50,9116.83,14483.00,7312.33,14.50,2048.17,164
policy+groupSize,"policy=member-formula-rate, groupSize=8",6,6,1.0000,225.11,76,334,432,3603.00,3262.00,4713.83,2953.00,0.00,1714.17,230
policy+groupSize,"policy=sequential-smart-recovery, groupSize=8",6,6,1.0000,260.89,96,387,428,1335.33,1159.33,2615.33,1456.00,0.00,2241.17,48
policy+groupSize,"policy=no-recovery-max-rate, groupSize=4",6,0,0.0000,,17,18,18,878.67,0.00,0.00,0.00,0.00,189.83,
policy+groupSize,"policy=no-recovery-max-rate, groupSize=8",6,0,0.0000,,18,19,19,2596.33,0.00,0.00,0.00,0.00,355.00,
policy+collectiveCount,"policy=static-lossless-rate, collectiveCount=1",6,6,1.0000,56.00,76,76,76,0.00,0.00,0.00,0.00,0.00,586.17,
policy+collectiveCount,"policy=member-formula-rate, collectiveCount=1",6,6,1.0000,56.00,76,76,76,0.00,0.00,0.00,0.00,0.00,586.17,
policy+collectiveCount,"policy=phase-offset-smart-recovery, collectiveCount=1",6,6,1.0000,70.67,66,94,99,2394.50,2393.33,3697.00,1386.17,5.00,719.50,48
policy+collectiveCount,"policy=smart-recovery-max-rate, collectiveCount=1",6,6,1.0000,73.50,70,96,118,2400.83,2398.17,3752.17,1420.17,0.00,729.83,53
policy+collectiveCount,"policy=intermediate-rate, collectiveCount=1",6,6,1.0000,77.33,69,101,118,2104.00,2103.17,3555.00,1744.17,0.00,701.17,83
policy+collectiveCount,"policy=static-lossless-rate, collectiveCount=2",6,6,1.0000,79.33,144,146,147,0.00,0.00,0.00,0.00,0.00,758.83,
policy+collectiveCount,"policy=sequential-smart-recovery, collectiveCount=1",6,6,1.0000,94.67,64,128,128,0.00,0.00,0.00,0.00,0.00,900.00,
policy+collectiveCount,"policy=smart-recovery-max-rate, collectiveCount=2",6,6,1.0000,126.83,85,288,295,8937.33,8033.50,12777.50,6508.00,0.00,1773.83,163
policy+collectiveCount,"policy=intermediate-rate, collectiveCount=2",6,6,1.0000,143.67,88,285,307,7883.00,7066.00,11505.83,6603.00,0.00,1692.67,164
policy+collectiveCount,"policy=phase-offset-smart-recovery, collectiveCount=2",6,6,1.0000,147.17,84,287,321,8676.17,7700.67,12420.17,6589.17,16.00,1751.83,164
policy+collectiveCount,"policy=member-formula-rate, collectiveCount=2",6,6,1.0000,167.58,77,343,464,3603.00,3262.00,4713.83,2953.00,0.00,1482.83,230
policy+collectiveCount,"policy=sequential-smart-recovery, collectiveCount=2",6,6,1.0000,194.33,101,402,428,1335.33,1159.33,2615.33,1456.00,0.00,1907.83,48
policy+collectiveCount,"policy=no-recovery-max-rate, collectiveCount=1",6,0,0.0000,,18,19,19,1136.00,0.00,0.00,0.00,0.00,200.00,
policy+collectiveCount,"policy=no-recovery-max-rate, collectiveCount=2",6,0,0.0000,,18,19,19,2339.00,0.00,0.00,0.00,0.00,344.83,